YEAR,LOC,BRAND,NAME,YIELD,TW,MOIST,HEAD,HT
1983,GRI,,,51.3,59,,149.5,37.5
1983,GRI,,,59.12,56.5,,149,37.75
1983,GRI,,,61.6,56.25,,148,36.5
1983,GRI,,,50.57,57.25,,150,45.25
1983,GRI,,,51.9,58.5,,150,37
1983,GRI,,,54.32,57,,153.5,39
1983,GRI,,,65.5,57,,152,41.25
1983,HVD,,,57.7,58.25,,138.5,40.75
1983,HVD,,,59.91,56.75,,138.25,43
1983,HVD,,,59.35,59.75,,139.5,44
1983,HVD,,,51.19,59.5,,143,49.25
1983,HVD,,,54.2,58.75,,139,40.5
1983,HVD,,,48.67,57.25,,141.5,44.75
1983,HVD,,,43.5,58.5,,143.25,50
1983,HVD,,,50.23,60.75,,137.25,46.25
1983,HVD,,,53.84,58.5,,142.5,49.25
1983,HVD,,,61.07,59.5,,138,43
